date,ticker,spot_price,rsi_14,ma_200,above_200ma,rsi_pct,iv_pct,pc_pct,iv_current,pc_ratio,gex_b,gex_regime,zero_gamma,call_wall,put_wall,opportunity_score,signal,signal_detail
2026-04-01,AMZN,210.57,50.95,224.58,False,47.7,,,,,,,,,,0,NO SIGNAL — not oversold vs own history,"Below 200MA — downtrend, scale in slowly [price-based only]"
2026-04-01,GOOGL,297.39,45.86,264.4,True,33.9,,,,,,,,,,2,NEUTRAL — mild dip in own history,RSI oversold vs own history (bottom 34%) | Above 200MA — uptrend intact [price-based only]
2026-04-01,META,579.23,36.49,685.69,False,23.0,,,,,,,,,,1,NO SIGNAL — not oversold vs own history,"RSI oversold vs own history (bottom 23%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-04-01,MSFT,369.37,26.91,477.44,False,9.9,,,,,,,,,,3,NEUTRAL — mild dip in own history,"RSI extremely oversold vs own history (bottom 10%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-04-01,NVDA,175.75,42.19,179.65,False,25.1,,,,,,,,,,1,NO SIGNAL — not oversold vs own history,"RSI oversold vs own history (bottom 25%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-04-01,TSLA,381.26,44.17,396.76,False,34.3,,,,,,,,,,1,NO SIGNAL — not oversold vs own history,"RSI oversold vs own history (bottom 34%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-04-02,AAPL,255.92,59.42,249.15,True,63.0,,,,,,,,,,1,NO SIGNAL — not oversold vs own history,Above 200MA — uptrend intact [price-based only]
2026-04-02,AMZN,209.77,51.95,224.55,False,49.4,,,,,,,,,,0,NO SIGNAL — not oversold vs own history,"Below 200MA — downtrend, scale in slowly [price-based only]"
2026-04-02,GOOGL,295.77,45.64,265.0,True,33.1,,,,,,,,,,2,NEUTRAL — mild dip in own history,RSI oversold vs own history (bottom 33%) | Above 200MA — uptrend intact [price-based only]
2026-04-02,META,574.46,40.11,685.05,False,29.2,,,,,,,,,,1,NO SIGNAL — not oversold vs own history,"RSI oversold vs own history (bottom 29%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-04-02,MSFT,373.46,33.79,476.92,False,21.6,,,,,,,,,,1,NO SIGNAL — not oversold vs own history,"RSI oversold vs own history (bottom 22%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-04-02,NVDA,177.39,46.9,179.82,False,38.9,,,,,,,,,,0,NO SIGNAL — not oversold vs own history,"Below 200MA — downtrend, scale in slowly [price-based only]"
2026-04-02,TSLA,360.59,38.64,396.92,False,22.5,,,,,,,,,,1,NO SIGNAL — not oversold vs own history,"RSI oversold vs own history (bottom 22%) | Below 200MA — downtrend, scale in slowly [price-based only]"
2026-04-06,AAPL,258.86,59.73,249.46,True,63.8,,,,,,,,,,1,NO SIGNAL — not oversold vs own history,Above 200MA — uptrend intact [price-based only]
